<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,D,20100802,000000,148490.0000000,153285.0000000,148490.0000000,153085.0000000,704588
SPFB.RTS,D,20100803,000000,153055.0000000,153055.0000000,150450.0000000,151700.0000000,807249
SPFB.RTS,D,20100804,000000,151680.0000000,153470.0000000,149475.0000000,152030.0000000,967028
SPFB.RTS,D,20100805,000000,152030.0000000,153050.0000000,150220.0000000,151395.0000000,827417
SPFB.RTS,D,20100806,000000,151420.0000000,152335.0000000,149000.0000000,150465.0000000,838102
SPFB.RTS,D,20100809,000000,150470.0000000,152725.0000000,150470.0000000,151400.0000000,675267
SPFB.RTS,D,20100810,000000,151370.0000000,151370.0000000,147055.0000000,149210.0000000,936134
SPFB.RTS,D,20100811,000000,149205.0000000,149205.0000000,143555.0000000,143900.0000000,929516
SPFB.RTS,D,20100812,000000,143900.0000000,145450.0000000,142165.0000000,143495.0000000,928206
SPFB.RTS,D,20100813,000000,143510.0000000,145185.0000000,142300.0000000,142995.0000000,792045
SPFB.RTS,D,20100816,000000,142995.0000000,144125.0000000,141305.0000000,143900.0000000,805499
SPFB.RTS,D,20100817,000000,143940.0000000,146545.0000000,143565.0000000,146170.0000000,783523
SPFB.RTS,D,20100818,000000,146170.0000000,146405.0000000,144330.0000000,145985.0000000,798508
SPFB.RTS,D,20100819,000000,145955.0000000,146970.0000000,143145.0000000,143525.0000000,902084
SPFB.RTS,D,20100820,000000,143510.0000000,144160.0000000,140805.0000000,142600.0000000,870435
SPFB.RTS,D,20100823,000000,142600.0000000,142970.0000000,140350.0000000,140800.0000000,990926
SPFB.RTS,D,20100824,000000,140770.0000000,140770.0000000,137500.0000000,138960.0000000,960009
SPFB.RTS,D,20100825,000000,138935.0000000,139700.0000000,136740.0000000,139105.0000000,1026503
SPFB.RTS,D,20100826,000000,139135.0000000,140920.0000000,138920.0000000,139715.0000000,876690
SPFB.RTS,D,20100827,000000,139740.0000000,142890.0000000,139115.0000000,142885.0000000,937581
SPFB.RTS,D,20100830,000000,142895.0000000,143500.0000000,141200.0000000,141220.0000000,644971
SPFB.RTS,D,20100831,000000,141180.0000000,142200.0000000,139200.0000000,141300.0000000,928342
SPFB.RTS,D,20100901,000000,141320.0000000,145730.0000000,141010.0000000,145700.0000000,926595
SPFB.RTS,D,20100902,000000,145595.0000000,146465.0000000,144610.0000000,146210.0000000,839171
SPFB.RTS,D,20100903,000000,146150.0000000,148220.0000000,145150.0000000,147615.0000000,770767
SPFB.RTS,D,20100906,000000,147690.0000000,148375.0000000,146995.0000000,147255.0000000,328337
SPFB.RTS,D,20100907,000000,147225.0000000,147250.0000000,144365.0000000,144890.0000000,761738
SPFB.RTS,D,20100908,000000,144800.0000000,147720.0000000,144170.0000000,146960.0000000,808347
SPFB.RTS,D,20100909,000000,146970.0000000,150300.0000000,146540.0000000,148900.0000000,857972
SPFB.RTS,D,20100910,000000,148600.0000000,149500.0000000,147910.0000000,149095.0000000,42447
SPFB.RTS,D,20100913,000000,149255.0000000,151830.0000000,149255.0000000,151175.0000000,134681
SPFB.RTS,D,20100914,000000,151115.0000000,151400.0000000,149000.0000000,149895.0000000,329608
SPFB.RTS,D,20100915,000000,149830.0000000,150370.0000000,147240.0000000,148800.0000000,691153
SPFB.RTS,D,20100916,000000,148750.0000000,149000.0000000,146115.0000000,146700.0000000,929485
SPFB.RTS,D,20100917,000000,146745.0000000,148450.0000000,145660.0000000,146085.0000000,775678
SPFB.RTS,D,20100920,000000,146155.0000000,148075.0000000,145550.0000000,148050.0000000,810962
SPFB.RTS,D,20100921,000000,148000.0000000,148820.0000000,147010.0000000,147120.0000000,868987
